order_id,customer_id,product_id,order_date,order_quantity,order_status,order_approval_date,order_delivery_date,rating_date,rating_score,rating_comment
97564t,30842q,02510u,4/27/2023,1,processing,4/30/2023,,,,
23865g,01054m,08380s,08-03-2023,9,delivered,08-03-2023,08-07-2023,,,
07385m,89513e,34063o,06-01-2023,1,pending,,,,,
85330s,12116r,70177q,10-05-2023,4,delivered,10-06-2023,10-11-2023,10/25/2023,5,Disappointing. Didn't meet my needs as expected.
96952m,87193b,12363m,12/30/2023,4,delivered,12/31/2023,01-06-2024,1/17/2024,3,
21944r,09903v,82417v,11/19/2023,2,delivered,11/19/2023,12-02-2023,12-11-2023,1,
10874j,41589h,19648f,8/20/2023,10,delivered,8/23/2023,8/25/2023,09-06-2023,3,Good value for money. Does the job well.
41511r,58686s,31610d,08-08-2023,5,processing,08-10-2023,,,,
26659k,45672n,81516l,8/27/2023,8,delivered,8/28/2023,09-08-2023,9/15/2023,1,
39508p,04537j,07681m,7/31/2023,8,processing,7/31/2023,,,,
77083x,05470e,24752z,12-11-2023,1,delivered,12/14/2023,12/22/2023,,,
89751j,86200y,27297s,12-08-2023,3,delivered,12-08-2023,12/20/2023,,,
93339i,92348m,20295e,8/20/2023,8,shipped,8/21/2023,,,,
15502z,35352u,85163t,03-01-2023,3,delivered,03-01-2023,03-12-2023,3/25/2023,3,Easy to use and convenient.
32545i,83161t,95177z,06-12-2023,1,delivered,6/14/2023,6/23/2023,,,
75602o,74115u,00613n,4/23/2023,10,delivered,4/23/2023,4/27/2023,,,
74360m,65425n,34220z,08-11-2023,2,delivered,8/14/2023,8/18/2023,8/28/2023,4,"Great product, very satisfied with its performance!"
82066p,76537i,57571j,07-08-2023,5,processing,07-10-2023,,,,
14549j,19560r,89860e,3/19/2023,8,delivered,3/20/2023,04-02-2023,04-04-2023,3,Good value for money. Does the job well.
87893c,74833d,75982l,04-02-2023,10,delivered,04-03-2023,04-12-2023,4/18/2023,2,"Average product, nothing special about it."
50630i,09157y,95948c,03-06-2023,9,delivered,03-07-2023,3/15/2023,3/26/2023,1,
12512e,91921x,21440v,12-10-2023,3,delivered,12-12-2023,12/15/2023,01-03-2024,1,
74400l,57146f,75992v,5/31/2023,6,delivered,5/31/2023,6/14/2023,6/25/2023,4,
43844j,51188v,66394f,08-03-2023,5,delivered,08-03-2023,08-08-2023,8/19/2023,3,
90279b,29780w,63937j,3/17/2023,2,shipped,3/18/2023,,,,
44259r,77733q,24952a,08-06-2023,4,delivered,08-09-2023,8/18/2023,8/31/2023,3,"Great product, very satisfied with its performance!"
38582z,04537j,34220z,03-09-2023,6,processing,03-09-2023,,,,
17529t,97696g,31701h,09-05-2023,8,delivered,09-08-2023,9/13/2023,9/28/2023,2,"Impressive design, but functionality could be improved."
25108z,91921x,83500s,11-03-2023,4,delivered,11-06-2023,11/14/2023,,,
59968g,05313r,45387s,6/20/2023,3,processing,6/21/2023,,,,
22543q,70801v,33224p,5/24/2023,2,delivered,5/24/2023,06-02-2023,6/18/2023,3,Disappointing. Didn't meet my needs as expected.
45867s,05470e,27297s,06-06-2023,8,processing,06-08-2023,,,,
00135x,74833d,31346s,7/25/2023,8,delivered,7/28/2023,08-06-2023,,,
32555y,32283g,31982j,1/28/2024,7,delivered,1/29/2024,02-09-2024,2/20/2024,2,"Impressive design, but functionality could be improved."
45594t,73496p,57571j,4/23/2023,8,delivered,4/26/2023,4/29/2023,5/17/2023,3,"Average product, nothing special about it."
08934b,92348m,29734l,9/24/2023,6,delivered,9/25/2023,9/30/2023,10-12-2023,3,Needs better instructions for setup.
78179g,48745d,78277j,04-01-2023,4,delivered,04-02-2023,04-05-2023,4/24/2023,4,
62949l,44932e,83931b,7/18/2023,4,delivered,7/21/2023,7/30/2023,08-10-2023,3,
67515j,86200y,02090u,7/26/2023,6,delivered,7/27/2023,08-03-2023,,,
87296w,88437p,00908q,10/24/2023,4,delivered,10/27/2023,10/29/2023,,,
67243b,29780w,24952a,4/30/2023,3,shipped,05-03-2023,,,,
56575l,45672n,97338x,05-11-2023,3,shipped,5/13/2023,,,,
87833i,41589h,20295e,11-04-2023,3,delivered,11-06-2023,11/14/2023,11/24/2023,2,Needs better instructions for setup.
85698c,99498p,99297w,07-06-2023,3,delivered,07-09-2023,7/13/2023,,,
45944u,14431h,45819t,11/13/2023,2,delivered,11/16/2023,11/24/2023,12-04-2023,5,Easy to use and convenient.
31373z,83161t,24752z,10-10-2023,6,pending,,,,,
50097h,87193b,86538t,09-03-2023,1,delivered,09-04-2023,09-12-2023,,,
94109r,96093d,64242h,04-12-2023,4,delivered,4/13/2023,4/24/2023,,,
20008d,50935w,08380s,10/31/2023,6,processing,10/31/2023,,,,
02528i,75825u,30871m,3/25/2023,9,delivered,3/26/2023,04-02-2023,4/15/2023,1,
62602l,58686s,20472b,10-03-2023,8,delivered,10-06-2023,10/16/2023,10/21/2023,1,"Average product, nothing special about it."
24701o,74115u,68153q,6/13/2023,9,shipped,6/14/2023,,,,
56715l,09903v,77380y,11-07-2023,1,delivered,11-09-2023,11/19/2023,,,
02044k,86200y,63937j,03-01-2023,3,delivered,03-02-2023,03-05-2023,,,
18811s,39884g,11932o,01-04-2024,2,shipped,01-05-2024,,,,
04312u,92348m,48088d,05-11-2023,8,delivered,5/14/2023,5/15/2023,,,
69718g,29780w,78277j,1/20/2024,2,delivered,1/23/2024,1/29/2024,02-04-2024,2,Needs better instructions for setup.
12193r,57146f,27321g,11-07-2023,5,delivered,11-07-2023,11/17/2023,,,
24216z,44932e,85065z,5/22/2023,5,delivered,5/22/2023,06-04-2023,06-07-2023,3,"Works perfectly, exactly what I needed!"
14729q,41589h,95177z,12-03-2023,4,shipped,12-03-2023,,,,
55357u,05470e,00063g,10/23/2023,7,delivered,10/24/2023,11-06-2023,,,
19988l,45672n,75135q,07-07-2023,10,delivered,07-07-2023,07-11-2023,7/31/2023,2,
16974t,09903v,99297w,05-04-2023,10,delivered,05-05-2023,5/17/2023,,,
06487u,58686s,65763w,11-02-2023,3,delivered,11-04-2023,11-10-2023,11/24/2023,1,
63864h,12116r,75982l,02-03-2024,9,delivered,02-05-2024,02-08-2024,,,
77060v,87193b,95332p,6/18/2023,4,shipped,6/18/2023,,,,
76023o,96093d,33467h,06-05-2023,5,delivered,06-07-2023,6/14/2023,,,
60752k,14431h,66048l,11-06-2023,10,delivered,11-07-2023,11/16/2023,11/25/2023,5,Needs better instructions for setup.
79870i,76537i,70177q,5/29/2023,7,delivered,5/30/2023,06-05-2023,,,
17427m,38964c,19648f,12/14/2023,3,delivered,12/17/2023,12/18/2023,01-05-2024,5,"Average product, nothing special about it."
48796q,35352u,95903a,06-11-2023,9,delivered,06-11-2023,6/16/2023,6/30/2023,5,"Great product, very satisfied with its performance!"
14575x,74115u,34063o,03-03-2023,9,delivered,03-04-2023,03-11-2023,3/28/2023,3,
16046p,19560r,47973g,12/25/2023,4,delivered,12/28/2023,01-02-2024,,,
69804k,89513e,07190d,03-04-2023,10,delivered,03-04-2023,03-09-2023,3/28/2023,3,
65076k,66812h,05847e,02-10-2024,7,delivered,02-12-2024,2/15/2024,,,
88750z,75825u,17115k,9/16/2023,7,delivered,9/18/2023,9/23/2023,,,
84098t,97696g,95948c,2/25/2024,6,delivered,2/27/2024,03-10-2024,,,
69977v,29780w,81516l,01-12-2024,5,delivered,1/13/2024,1/26/2024,,,
00621o,41589h,93680s,4/22/2023,10,delivered,4/23/2023,05-01-2023,5/15/2023,4,"Works perfectly, exactly what I needed!"
30193i,75825u,80153c,10/23/2023,6,delivered,10/26/2023,10/31/2023,11/16/2023,5,"Impressive design, but functionality could be improved."
