order_id,customer_id,product_id,order_date,order_quantity,order_status,order_approval_date,order_delivery_date,rating_date,rating_score,rating_comment
97564t,30842q,24752z,4/27/2023,1,processing,4/30/2023,,,,
23865g,01054m,04151d,08/03/2023,9,delivered,08/03/2023,08/07/2023,,,
07385m,89513e,10638s,06/01/2023,1,pending,,,,,
85330s,12116r,80153c,10/05/2023,4,delivered,10/06/2023,10/11/2023,10/25/2023,5,Disappointing. Didn't meet my needs as expected.
96952m,87193b,66048l,12/30/2023,4,delivered,12/31/2023,01/06/2024,1/17/2024,3,
21944r,09903v,86538t,11/19/2023,2,delivered,11/19/2023,12/02/2023,12/11/2023,1,
10874j,41589h,32750s,8/20/2023,10,delivered,8/23/2023,8/25/2023,09/06/2023,3,Good value for money. Does the job well.
41511r,58686s,19648f,08/08/2023,5,processing,08/10/2023,,,,
26659k,45672n,02090u,8/27/2023,8,delivered,8/28/2023,09/08/2023,9/15/2023,1,
39508p,04537j,86538t,7/31/2023,8,processing,7/31/2023,,,,
77083x,05470e,78277j,12/11/2023,1,delivered,12/14/2023,12/22/2023,,,
89751j,86200y,83931b,12/08/2023,3,delivered,12/08/2023,12/20/2023,,,
93339i,92348m,31106q,8/20/2023,8,shipped,8/21/2023,,,,
15502z,35352u,27297s,03/01/2023,3,delivered,03/01/2023,03/12/2023,3/25/2023,3,Easy to use and convenient.
32545i,83161t,95177z,06/12/2023,1,delivered,6/14/2023,6/23/2023,,,
75602o,74115u,02510u,4/23/2023,10,delivered,4/23/2023,4/27/2023,,,
74360m,65425n,57571j,08/11/2023,2,delivered,8/14/2023,8/18/2023,8/28/2023,4,"Great product, very satisfied with its performance!"
82066p,76537i,95332p,07/08/2023,5,processing,07/10/2023,,,,
14549j,19560r,11932o,3/19/2023,8,delivered,3/20/2023,04/02/2023,04/04/2023,3,Good value for money. Does the job well.
87893c,74833d,80153c,04/02/2023,10,delivered,04/03/2023,04/12/2023,4/18/2023,2,"Average product, nothing special about it."
50630i,09157y,47973g,03/06/2023,9,delivered,03/07/2023,3/15/2023,3/26/2023,1,
12512e,91921x,75135q,12/10/2023,3,delivered,12/12/2023,12/15/2023,01/03/2024,1,
74400l,57146f,88691q,5/31/2023,6,delivered,5/31/2023,6/14/2023,6/25/2023,4,
43844j,51188v,93680s,08/03/2023,5,delivered,08/03/2023,08/08/2023,8/19/2023,3,
90279b,29780w,12490g,3/17/2023,2,shipped,3/18/2023,,,,
44259r,77733q,97338x,08/06/2023,4,delivered,08/09/2023,8/18/2023,8/31/2023,3,"Great product, very satisfied with its performance!"
38582z,04537j,45387s,03/09/2023,6,processing,03/09/2023,,,,
17529t,97696g,06727r,09/05/2023,8,delivered,09/08/2023,9/13/2023,9/28/2023,2,"Impressive design, but functionality could be improved."
25108z,91921x,12490g,11/03/2023,4,delivered,11/06/2023,11/14/2023,,,
59968g,05313r,78277j,6/20/2023,3,processing,6/21/2023,,,,
22543q,70801v,12363m,5/24/2023,2,delivered,5/24/2023,06/02/2023,6/18/2023,3,Disappointing. Didn't meet my needs as expected.
45867s,05470e,82417v,06/06/2023,8,processing,06/08/2023,,,,
00135x,74833d,85089g,7/25/2023,8,delivered,7/28/2023,08/06/2023,,,
32555y,32283g,12490g,1/28/2024,7,delivered,1/29/2024,02/09/2024,2/20/2024,2,"Impressive design, but functionality could be improved."
45594t,73496p,65763w,4/23/2023,8,delivered,4/26/2023,4/29/2023,5/17/2023,3,"Average product, nothing special about it."
08934b,92348m,88691q,9/24/2023,6,delivered,9/25/2023,9/30/2023,10/12/2023,3,Needs better instructions for setup.
78179g,48745d,80153c,04/01/2023,4,delivered,04/02/2023,04/05/2023,4/24/2023,4,
62949l,44932e,04151d,7/18/2023,4,delivered,7/21/2023,7/30/2023,08/10/2023,3,
67515j,86200y,83500s,7/26/2023,6,delivered,7/27/2023,08/03/2023,,,
87296w,88437p,10638s,10/24/2023,4,delivered,10/27/2023,10/29/2023,,,
67243b,29780w,98568g,4/30/2023,3,shipped,05/03/2023,,,,
56575l,45672n,02931a,05/11/2023,3,shipped,5/13/2023,,,,
87833i,41589h,05847e,11/04/2023,3,delivered,11/06/2023,11/14/2023,11/24/2023,2,Needs better instructions for setup.
85698c,99498p,95332p,07/06/2023,3,delivered,07/09/2023,7/13/2023,,,
45944u,14431h,85163t,11/13/2023,2,delivered,11/16/2023,11/24/2023,12/04/2023,5,Easy to use and convenient.
31373z,83161t,05847e,10/10/2023,6,pending,,,,,
50097h,87193b,34220z,09/03/2023,1,delivered,09/04/2023,09/12/2023,,,
94109r,96093d,04151d,04/12/2023,4,delivered,4/13/2023,4/24/2023,,,
20008d,50935w,20295e,10/31/2023,6,processing,10/31/2023,,,,
02528i,75825u,75135q,3/25/2023,9,delivered,3/26/2023,04/02/2023,4/15/2023,1,
62602l,58686s,73939b,10/03/2023,8,delivered,10/06/2023,10/16/2023,10/21/2023,1,"Average product, nothing special about it."
24701o,74115u,31106q,6/13/2023,9,shipped,6/14/2023,,,,
56715l,09903v,32750s,11/07/2023,1,delivered,11/09/2023,11/19/2023,,,
02044k,86200y,31346s,03/01/2023,3,delivered,03/02/2023,03/05/2023,,,
18811s,39884g,17115k,01/04/2024,2,shipped,01/05/2024,,,,
04312u,92348m,61340n,05/11/2023,8,delivered,5/14/2023,5/15/2023,,,
