payment_id,order_id,Payment_date,Payment_method
50096r,97564t,10-09-2023,venmo
41864j,23865g,01-04-2024,credit_card
29359c,07385m,5/24/2023,debit_card
55291k,85330s,7/22/2023,paypal
99791v,96952m,10-03-2023,debit_card
77113d,21944r,2/29/2024,paypal
46785j,10874j,7/23/2023,debit_card
54445u,41511r,3/18/2023,debit_card
88816v,26659k,3/23/2023,debit_card
69694a,39508p,3/27/2023,debit_card
71694b,77083x,4/27/2023,paypal
50016d,89751j,4/25/2023,debit_card
61050m,93339i,10/30/2023,credit_card
21667k,15502z,10-07-2023,apple_pay
03969p,32545i,04-07-2023,venmo
75987j,75602o,11/28/2023,paypal
39266u,74360m,2/27/2024,apple_pay
14505a,82066p,04-12-2023,venmo
38993m,14549j,04-08-2023,paypal
20651a,87893c,5/20/2023,credit_card
60323v,50630i,10/13/2023,venmo
28563j,12512e,12/14/2023,debit_card
56277z,74400l,5/17/2023,apple_pay
07856u,43844j,1/21/2024,debit_card
63268a,90279b,02-08-2024,paypal
51978v,44259r,6/27/2023,venmo
40639m,38582z,7/14/2023,credit_card
30345y,17529t,7/18/2023,apple_pay
94541u,25108z,9/23/2023,apple_pay
92363u,59968g,12/18/2023,credit_card
44146g,22543q,05-06-2023,apple_pay
05208f,45867s,11/27/2023,paypal
47600t,00135x,8/19/2023,apple_pay
58246g,32555y,9/30/2023,apple_pay
42749t,45594t,10/29/2023,paypal
89497b,08934b,08-05-2023,venmo
05308b,78179g,09-04-2023,apple_pay
41346b,62949l,5/22/2023,venmo
27109k,67515j,7/31/2023,paypal
00510a,87296w,10/13/2023,credit_card
91368m,67243b,4/14/2023,paypal
75158z,56575l,01-11-2024,venmo
56083e,87833i,01-03-2024,paypal
84487g,85698c,06-12-2023,venmo
51151j,45944u,02-03-2024,apple_pay
51151k,31373z,7/29/2023,venmo
58985j,50097h,11-09-2023,apple_pay
57099c,94109r,11/14/2023,credit_card
26683z,20008d,5/29/2023,paypal
55313x,02528i,10/28/2023,apple_pay
71028q,62602l,10/20/2023,apple_pay
00781u,24701o,09-03-2023,paypal
38582g,56715l,7/20/2023,apple_pay
03416m,02044k,3/13/2023,debit_card
10804d,18811s,11-06-2023,credit_card
06095b,04312u,01-02-2024,venmo
55044u,69718g,4/26/2023,paypal
87882n,12193r,09-01-2023,venmo
45489c,24216z,8/19/2023,debit_card
20451i,14729q,12-11-2023,paypal
24654h,55357u,5/18/2023,paypal
22541v,19988l,7/25/2023,apple_pay
34695a,16974t,3/20/2023,apple_pay
82646o,06487u,12-05-2023,apple_pay
30393l,63864h,2/13/2024,venmo
44751o,77060v,3/22/2023,venmo
30802c,76023o,10-04-2023,apple_pay
02535y,60752k,12/26/2023,debit_card
34639l,79870i,6/22/2023,paypal
30530n,17427m,8/29/2023,debit_card
20449o,48796q,02-10-2024,credit_card
09340o,14575x,8/24/2023,venmo
04072w,16046p,8/28/2023,paypal
45206a,69804k,05-09-2023,apple_pay
53080r,65076k,2/14/2024,debit_card
42324p,88750z,03-05-2024,paypal
72711o,84098t,5/29/2023,paypal
92830f,69977v,6/14/2023,debit_card
22850r,00621o,11/22/2023,credit_card
61471j,30193i,11/28/2023,credit_card
00491t,60645q,3/24/2023,paypal
16360j,77196t,03-03-2024,apple_pay
73917p,14050s,07-11-2023,paypal
61895q,33227r,04-09-2023,paypal
42952v,21782k,08-06-2023,debit_card
52726a,63574q,04-09-2023,paypal
65058x,02842s,12/22/2023,debit_card
82001u,93799n,4/23/2023,debit_card
79563z,49830r,2/27/2024,venmo
78086o,37428p,9/13/2023,apple_pay
01662i,12134s,11/13/2023,debit_card
58442t,35939y,12/22/2023,venmo
88967b,08082t,6/29/2023,credit_card
67424l,70664i,7/27/2023,debit_card
31102j,88636v,9/13/2023,credit_card
68598m,89414h,12/14/2023,credit_card
14353j,16553v,03-07-2023,debit_card
48106p,75536c,07-01-2023,credit_card
84789x,09827t,12-09-2023,paypal
52655l,15258k,10/24/2023,debit_card
08432c,69112k,3/25/2023,credit_card
18290o,90181k,9/15/2023,paypal
63733n,30667t,6/27/2023,paypal
88866p,93888d,12/18/2023,paypal
35027k,83664u,3/13/2023,apple_pay
91537m,66955j,8/17/2023,credit_card
11461b,51888w,02-01-2024,credit_card
99194j,26233x,4/30/2023,apple_pay
58969p,25263n,11/29/2023,venmo
10519q,73063u,2/20/2024,apple_pay
71118j,92868i,02-10-2024,apple_pay
53886n,00445t,03-06-2023,credit_card
93713f,15516t,7/23/2023,debit_card
70869s,85621d,11/24/2023,debit_card
48652s,30932d,9/21/2023,paypal
14775a,13951v,06-04-2023,apple_pay
80136i,66285l,11/30/2023,debit_card
13617c,38112r,6/28/2023,venmo
70430v,21925k,7/20/2023,debit_card
93699l,11450b,12/19/2023,debit_card
62216q,55435p,5/21/2023,credit_card
08789d,17692j,11/16/2023,debit_card
19613j,35383c,9/25/2023,apple_pay
55276d,39507y,11/27/2023,venmo
26451c,51853l,4/17/2023,paypal
72451k,15264f,8/18/2023,apple_pay
24779g,74355b,2/21/2024,venmo
41695y,93557s,7/30/2023,debit_card
58992r,14878n,2/18/2024,credit_card
05265r,17040p,11-02-2023,venmo
52685z,68952r,1/21/2024,paypal
89622p,19829v,10/17/2023,paypal
24199q,92534m,4/27/2023,paypal
05483k,31546i,05-02-2023,debit_card
68007k,84168o,09-07-2023,credit_card
19434w,44888q,5/20/2023,debit_card
42348b,05255l,7/29/2023,venmo
67447f,92099x,02-06-2024,debit_card
95679y,46549a,5/15/2023,apple_pay
79985a,17071m,11/18/2023,debit_card
63408j,20695g,2/24/2024,venmo
41633h,93641p,01-10-2024,venmo
38122l,00917i,04-11-2023,paypal
30520k,43726b,06-09-2023,apple_pay
72622i,51774n,3/31/2023,venmo
51581q,01673x,12-04-2023,paypal
34256p,31023s,2/16/2024,debit_card
08119k,25446p,11-07-2023,paypal
11549p,01785w,8/13/2023,apple_pay
87963r,26970v,5/21/2023,apple_pay
76106h,89026r,5/21/2023,paypal
19685i,22356j,07-09-2023,credit_card
82320h,51745i,07-03-2023,venmo
65102q,69373s,1/16/2024,apple_pay
70491b,89718c,3/18/2023,apple_pay
48559y,29111a,1/15/2024,credit_card
88137a,76100z,6/13/2023,venmo
21163f,94317p,12/29/2023,apple_pay
48423k,22760s,9/16/2023,credit_card
75329y,14904h,11/24/2023,venmo
74626t,97745k,7/13/2023,debit_card
24673j,76569m,07-05-2023,venmo
95567p,50029v,05-03-2023,apple_pay
14836m,56161t,01-04-2024,paypal
45983b,72900x,02-05-2024,debit_card
33748o,51914u,3/19/2023,debit_card
17331b,73006s,5/14/2023,venmo
24935u,72236c,6/18/2023,venmo
45732t,81978c,10/26/2023,credit_card
32185g,92924l,3/13/2023,venmo
69065g,47928p,04-12-2023,paypal
54421h,97832q,10-07-2023,apple_pay
39082h,37388y,07-09-2023,debit_card
30989k,79381u,08-06-2023,venmo
39884r,66870n,05-11-2023,apple_pay
52770e,75699r,2/28/2024,apple_pay
01972i,13289z,10/13/2023,venmo
44450j,38547s,5/29/2023,apple_pay
47595c,33131a,5/13/2023,apple_pay
97708r,84215j,11-10-2023,apple_pay
10284y,37993o,08-03-2023,credit_card
40344w,70085w,8/26/2023,paypal
93182r,77645x,5/31/2023,venmo
60763x,16673f,5/18/2023,apple_pay
36720k,62375t,10/20/2023,credit_card
27774w,42927m,05-11-2023,credit_card
46611b,89607i,11/20/2023,apple_pay
02280f,27908m,12/16/2023,credit_card
53577q,40906p,7/30/2023,venmo
59577w,89558o,12-10-2023,debit_card
26085v,38523c,8/21/2023,paypal
35382t,91622s,02-05-2024,paypal
91273h,14017r,11-09-2023,apple_pay
40682i,15173q,12/22/2023,apple_pay
78418e,59596s,8/19/2023,debit_card
35490x,53516p,1/18/2024,paypal
04829n,15549z,3/21/2023,credit_card
50361k,09291d,2/26/2024,apple_pay
