product_id,product_name,category_id,supplier_id,price,discount_rate
45387s,Sunscreen Lotion,19565c,03268l,93.72,15
24752z,Multivitamin Supplements,12087n,93984z,93.03,18
48150m,Facial Cleanser,12087n,70384s,21,8
31982j,Belt,11653r,24853q,26.31,9
80153c,Toothbrush,60651n,82111p,53.8,0
64242h,Exfoliating Scrub,19565c,97382p,14.68,0
21440v,Running Shoes,41482t,14559o,75.3,19
93680s,Toothbrush,60651n,72808j,43.15,18
45819t,Cotton T-Shirt,12618w,93984z,59.42,1
95903a,Gym Shorts,40614f,70384s,34.44,4
66048l,Toothbrush,60651n,69150j,34.92,16
68153q,Cotton T-Shirt,12618w,99243y,25.78,0
85163t,Yoga Leggings,40614f,81867y,45.76,19
00613n,Wallet,07510z,17202g,7.39,4
04151d,Face Cream,19565c,39130t,75.33,14
77380y,Foundation,47457j,50696s,13.61,5
63937j,Shampoo,74753q,40172i,18.47,1
97338x,Facial Cleanser,12087n,78560p,10.5,6
75135q,Exfoliating Scrub,19565c,50696s,81.3,8
24952a,Gym Shorts,40614f,21114b,99.9,13
11932o,Multivitamin Supplements,12087n,97584v,26.02,1
78277j,Denim Jeans,12618w,18044t,63.15,10
30871m,Body Wash,60651n,40172i,98.71,6
74326j,Foundation,47457j,03268l,79.14,4
29754z,Hair Serum,74753q,83698w,27.62,6
29734l,Essential Oils,12087n,19425f,13.82,10
48088d,Lipstick,47457j,89527c,79.5,20
27297s,Foundation,47457j,01314q,7.45,18
19648f,Foundation,47457j,76566f,78.76,10
34220z,Exfoliating Scrub,19565c,19425f,15.13,9
19584d,Essential Oils,12087n,65868v,97.28,5
31346s,Foundation,47457j,07654c,85.53,5
85089g,Sports Jacket,40614f,99243y,12.49,9
95332p,Styling Gel,74753q,14559o,74.66,1
07681m,Shampoo,74753q,18044t,14.01,3
99297w,Yoga Leggings,40614f,91928z,30.62,9
53286c,Multivitamin Supplements,12087n,91928z,61.93,10
95177z,Face Cream,19565c,88228c,51.31,11
88691q,Hand Cream,60651n,39130t,72.08,9
08380s,Sunscreen Lotion,19565c,89782w,34.34,1
00063g,Essential Oils,12087n,84475z,39.12,8
10638s,Foundation,47457j,24853q,68.56,2
20472b,Mascara,47457j,40172i,27.2,6
86538t,Business Suit,11653r,01314q,50.67,17
82417v,Sunglasses,07510z,15418t,47.55,17
45009e,Facial Cleanser,12087n,91928z,26.64,9
64776e,Running Shoes,41482t,14559o,22.62,3
95948c,Denim Jeans,12618w,88228c,74.67,5
93499u,Handbag,11653r,21114b,43.58,8
07190d,Toothbrush,60651n,77235m,90.64,18
20295e,Gym Shorts,40614f,72106x,37.8,7
33467h,Denim Jeans,12618w,91928z,51.55,4
09112u,Styling Gel,74753q,09817c,99.64,5
00908q,Toothbrush,60651n,17202g,67.46,3
06727r,Belt,11653r,99243y,51.17,11
31106q,Mascara,47457j,58319w,29.34,7
57571j,High Heels,41482t,34815h,31.04,15
83931b,Hand Cream,60651n,84475z,56.44,4
03736b,Body Wash,60651n,39130t,36.67,15
32750s,Sports Jacket,40614f,89782w,72.18,14
02090u,Business Suit,11653r,97584v,62.81,2
61340n,Sneakers,41482t,50696s,35.53,9
33224p,Hand Cream,60651n,70384s,94.65,10
31610d,Wallet,07510z,81867y,92.19,14
65763w,Running Shoes,41482t,15418t,53.26,6
31701h,Face Cream,19565c,07920r,36.1,0
02931a,Mascara,47457j,97584v,41.59,3
66394f,Body Wash,60651n,77235m,61.1,2
81516l,Lipstick,47457j,28185u,58.03,5
70177q,Lipstick,47457j,77235m,59.57,5
12490g,Hand Cream,60651n,01314q,20.84,8
89860e,Shampoo,74753q,58319w,44.54,4
56764d,Wallet,07510z,78560p,13.44,4
94269v,Denim Jeans,12618w,67153s,80.64,10
27099c,Styling Gel,74753q,01314q,12.07,0
73939b,Toothbrush,60651n,39862x,97.67,8
02510u,Foundation,47457j,11866m,17.97,0
47973g,Essential Oils,12087n,97584v,94.15,0
85065z,Styling Gel,74753q,07654c,64.49,12
46392k,Toothbrush,60651n,67153s,20.39,20
97711l,Mascara,47457j,31691z,8.5,2
75982l,Styling Gel,74753q,17202g,80.23,0
31607j,Hoodie,12618w,50696s,31.52,17
17115k,Sunglasses,07510z,07920r,60.54,3
12363m,High Heels,41482t,24853q,60.42,11
27321g,Shampoo,74753q,04270m,32.52,8
83500s,Hair Serum,74753q,15418t,11.47,0
98568g,Scarf,07510z,12943g,47.73,18
75992v,Running Shoes,41482t,15418t,57.05,12
05847e,Hoodie,12618w,67153s,46.13,11
36807t,Scarf,07510z,49096c,83.78,11
31040p,High Heels,41482t,18044t,54.59,9
34063o,Business Suit,11653r,14329d,45.19,15
13571i,Wallet,07510z,04270m,67.62,4
59848f,Gym Shorts,40614f,89782w,8.22,10
94188u,Lipstick,47457j,03268l,54.38,6
10488q,Toothbrush,60651n,72106x,28.58,15
