sale_id,supplier_id,product_id,sale_date
76127o,45192y,74898f,7/17/2023
52663y,79241s,65030q,10/22/2023
10421n,56269b,27469s,1/25/2024
19857s,39323i,84959v,04-07-2023
56484q,45192y,65030q,12-12-2023
93790u,74417a,93859q,06-03-2023
86275c,39323i,84959v,06-06-2023
64981g,74417a,27787e,10/13/2023
43780r,56269b,93859q,7/20/2023
04970g,45192y,74898f,05-07-2023
53963c,56269b,94865c,3/19/2023
13648n,39323i,74898f,12/14/2023
61755k,74417a,74898f,1/17/2024
32061u,56269b,16977e,10-05-2023
64134l,79241s,74898f,01-04-2024
96923j,56269b,94865c,12-07-2023
36073p,45192y,84959v,8/29/2023
41046y,45192y,15925p,04-02-2023
99787a,79241s,74898f,7/22/2023
52808u,45192y,65030q,5/13/2023
51261m,39323i,84959v,7/16/2023
22872z,79241s,84959v,3/19/2023
19620u,74417a,49700n,01-04-2024
47166b,79241s,65030q,08-06-2023
65417v,56269b,65030q,06-10-2023
79147h,56269b,27469s,1/25/2024
13435f,56269b,65030q,04-09-2023
53945e,56269b,65030q,10/29/2023
42046q,79241s,27787e,01-06-2024
99819s,39323i,27787e,08-03-2023
33776l,79241s,27469s,4/18/2023
86749t,74417a,93859q,1/23/2024
69992q,79241s,27469s,6/21/2023
41164p,39323i,15925p,12/23/2023
37958l,56269b,49700n,3/21/2023
29562f,45192y,16977e,1/18/2024
25757g,39323i,65030q,6/13/2023
44142u,45192y,84959v,7/21/2023
21816j,79241s,94865c,10/16/2023
08458a,74417a,74898f,10/29/2023
26866g,56269b,27787e,8/24/2023
33316h,56269b,94865c,10/24/2023
69743x,45192y,93859q,2/26/2023
29432z,74417a,74898f,10/14/2023
95844i,39323i,16977e,11-08-2023
36716z,79241s,84959v,9/26/2023
00576x,45192y,27787e,1/20/2024
22363z,56269b,49700n,5/23/2023
77240c,79241s,15925p,03-09-2023
64041n,74417a,27469s,12-01-2023
